pass_id;timestamp;stationRef;vehicleRef;charge
PYOL675769;17/6/2021 18:52;KO01;ED51EWW52190;2.8
ECOJ036924;19/1/2021 8:13;OO12;AT19HLV57173;2.8
KDSB924697;22/10/2021 21:36;OO06;AT19HLV57173;2.8
XDMR081660;28/10/2020 14:49;AO07;DP11ENT03275;3.1
LTYP502808;25/8/2021 20:10;AO18;LG64ARC91224;13.0
VKSV646035;24/9/2021 14:03;MR06;QO68DIC93032;2.5
TKFF935113;14/1/2020 18:39;OO12;XV40HUQ04740;1.3
SFGI994664;29/9/2020 11:39;EG04;TV81MAQ99005;2.8
HYZP402771;7/12/2020 3:29;EG03;CP56DAO45598;2.8
DQIE407241;9/9/2021 21:31;AO13;DP11ENT03275;3.1
XSSO155777;20/12/2020 10:15;AO16;NO82BAX82566;2.8
INZQ470729;14/4/2020 9:53;KO08;QW79CHL42244;2.8
JCIT679360;19/2/2021 4:06;KO04;JO50FSF60755;2.2
AYKX220319;11/11/2021 9:39;KO08;WY00MLL63827;1.0
RYJC340465;16/1/2020 12:41;GF00;PF04UCA93312;3.1
QVHT506415;25/9/2021 9:19;GF00;IO09FGE68100;2.8
UGWN785791;30/7/2021 18:56;OO04;CP56DAO45598;2.5
AEZZ412568;25/2/2020 1:53;NE09;QP02SYE47964;2.8
UIUF439956;3/10/2021 6:33;AO02;QN23UHH39091;2.8
MEVG275911;14/1/2021 23:39;EG08;CR31GMR97972;1.5
JWNI675564;15/1/2020 13:52;EG02;TE24LCO18661;1.3
WTJH394272;27/1/2021 12:10;EG11;MU06LHX94338;1.5
JACJ711123;3/6/2021 22:22;EG12;MU06LHX94338;1.5
GGEL616220;2/5/2020 7:06;KO06;HW75BKT77773;2.2
HDGP428511;2/2/2021 14:00;OO12;EM54HQI58682;2.8
WPEM449860;5/9/2021 16:01;EG07;CM15YCB60994;2.0
PCCF799353;20/8/2021 20:52;EG09;CM15YCB60994;2.0
XSJX261889;29/12/2020 5:32;NE09;FY47TUN40300;1.0
KLAQ746342;31/3/2020 14:16;EG02;DW44ZOO26361;2.5
PXHC291300;22/4/2020 15:42;GF00;JE65QJK64802;2.8
CBZH331620;26/2/2020 7:44;AO18;RR73DWB65452;2.8
TYYV261360;6/2/2020 2:22;OO00;AT19HLV57173;2.8
GYQR634028;22/3/2021 4:45;GF00;QO68DIC93032;13.0
YYXU086223;7/9/2021 13:52;GF00;DO24BCW15511;13.0
ZQWE866020;12/4/2021 15:47;KO00;KB55KTM48860;2.5
RIZS510791;31/10/2021 4:57;AO15;YL27IFD65117;2.0
LYCB882386;1/5/2021 2:10;NE08;EG95RTB75032;2.8
GDNU113340;23/3/2021 15:58;OO12;AT19HLV57173;2.8
FRJN155015;21/12/2021 13:16;OO07;QR03XCJ37459;2.8
TVAL402904;12/9/2021 21:20;MR04;IZ65WAT29135;2.0
DNHJ072103;11/9/2020 2:33;OO02;MX39VOS38645;2.0
